Date,Time,Time2,Memory Used
10/30/2020,01:57:30,PM,46.793
10/30/2020,01:54:30,PM,46.352
10/30/2020,01:51:30,PM,46.3704
10/30/2020,01:48:30,PM,46.8373
10/30/2020,01:45:30,PM,47.6284
10/30/2020,01:42:30,PM,47.8408
10/30/2020,01:39:30,PM,47.5511
10/30/2020,01:36:30,PM,47.3402
10/30/2020,01:33:30,PM,47.3731
10/30/2020,01:30:30,PM,47.2228
10/30/2020,01:27:30,PM,47.0926
10/30/2020,01:24:30,PM,47.1307
10/30/2020,01:21:30,PM,47.2563
10/30/2020,01:18:30,PM,47.4146
10/30/2020,01:15:30,PM,47.2537
10/30/2020,01:12:30,PM,49.3575
10/30/2020,01:09:30,PM,49.4709
10/30/2020,01:06:30,PM,49.3879
10/30/2020,01:03:30,PM,49.4257
10/30/2020,01:00:30,PM,49.6359
10/30/2020,12:57:30,PM,49.3337
10/30/2020,12:54:30,PM,49.3286
10/30/2020,12:51:30,PM,49.3102
10/30/2020,12:48:30,PM,49.3005
10/30/2020,12:45:30,PM,49.5662
10/30/2020,12:42:30,PM,48.9274
10/30/2020,12:39:30,PM,48.8669
10/30/2020,12:36:30,PM,48.5149
10/30/2020,12:33:30,PM,49.8668
10/30/2020,12:30:30,PM,49.9043
10/30/2020,12:27:30,PM,49.9193
10/30/2020,12:24:30,PM,49.6257
10/30/2020,12:21:30,PM,49.2914
10/30/2020,12:18:30,PM,49.2516
10/30/2020,12:15:30,PM,49.3623
10/30/2020,12:12:30,PM,49.742
10/30/2020,12:09:30,PM,49.6068
10/30/2020,12:06:30,PM,49.753
10/30/2020,12:03:30,PM,49.684
10/30/2020,12:00:30,PM,49.6828
10/30/2020,11:57:30,AM,49.4763
10/30/2020,11:54:30,AM,49.6214
10/30/2020,11:51:30,AM,49.471
10/30/2020,11:48:30,AM,49.4393
10/30/2020,11:45:30,AM,49.3623
10/30/2020,11:42:30,AM,49.325
10/30/2020,11:39:31,AM,49.1753
10/30/2020,11:36:30,AM,49.1714
10/30/2020,11:33:30,AM,49.246
10/30/2020,11:30:30,AM,49.2721
10/30/2020,11:27:30,AM,48.926
10/30/2020,11:24:30,AM,48.7517
10/30/2020,11:21:30,AM,48.3506
10/30/2020,11:18:30,AM,48.1043
10/30/2020,11:15:30,AM,48.7835
10/30/2020,11:12:30,AM,48.8022
10/30/2020,11:09:30,AM,48.5619
10/30/2020,11:06:30,AM,48.5244
10/30/2020,11:03:30,AM,48.2147
10/30/2020,11:00:30,AM,48.3425
10/30/2020,10:57:30,AM,48.2074
10/30/2020,10:54:30,AM,48.5541
10/30/2020,10:51:30,AM,48.5465
10/30/2020,10:48:30,AM,48.2949
