Date,time,Allocate memory,%used
2020/10/31,15:00:45,1604127645,31.1789
2020/10/31,14:57:45,1604127465,33.7067
2020/10/31,14:54:45,1604127285,30.146
2020/10/31,14:51:45,1604127105,30.0755
2020/10/31,14:48:45,1604126925,27.6054
2020/10/31,14:45:45,1604126745,27.5513
2020/10/31,14:42:45,1604126565,27.4318
2020/10/31,14:39:45,1604126385,27.4016
2020/10/31,14:36:45,1604126205,27.3238
2020/10/31,14:33:45,1604126025,27.3821
2020/10/31,14:30:45,1604125845,27.4129
2020/10/31,14:27:45,1604125665,27.3582
2020/10/31,14:24:46,1604125486,27.5095
2020/10/31,14:21:45,1604125305,26.8481
2020/10/31,14:18:45,1604125125,28.5413
2020/10/31,14:15:45,1604124945,31.1965
2020/10/31,14:12:45,1604124765,27.5104
2020/10/31,14:09:45,1604124585,27.4906
2020/10/31,14:06:45,1604124405,27.4152
2020/10/31,14:03:46,1604124226,27.53
2020/10/31,14:00:45,1604124045,27.4762
2020/10/31,13:57:45,1604123865,27.5071
2020/10/31,13:54:45,1604123685,27.5226
2020/10/31,13:51:45,1604123505,29.9374
2020/10/31,13:48:45,1604123325,32.1417
2020/10/31,13:45:45,1604123145,28.0646
2020/10/31,13:42:46,1604122966,28.0377
2020/10/31,13:39:45,1604122785,28.0668
2020/10/31,13:36:45,1604122605,28.1327
2020/10/31,13:33:46,1604122426,28.1115
2020/10/31,13:30:45,1604122245,28.0699
2020/10/31,13:27:46,1604122066,28.2626
2020/10/31,13:24:45,1604121885,27.2734
2020/10/31,13:21:45,1604121705,27.236
2020/10/31,13:18:45,1604121525,28.398
2020/10/31,13:15:45,1604121345,30.4049
2020/10/31,13:12:45,1604121165,32.904
2020/10/31,13:09:45,1604120985,28.1582
2020/10/31,13:06:45,1604120805,29.944
2020/10/31,13:03:45,1604120625,29.752
2020/10/31,13:00:45,1604120445,27.7901
2020/10/31,12:57:45,1604120265,27.7966
2020/10/31,12:54:45,1604120085,27.7235
2020/10/31,12:51:45,1604119905,27.6175
2020/10/31,12:48:46,1604119726,27.6776
2020/10/31,12:45:45,1604119545,27.5431
2020/10/31,12:42:45,1604119365,31.7544
2020/10/31,12:39:45,1604119185,28.8834
2020/10/31,12:36:45,1604119005,32.1572
2020/10/31,12:33:45,1604118825,32.217
2020/10/31,12:30:45,1604118645,29.8844
2020/10/31,12:27:45,1604118465,47.3304
2020/10/31,12:24:45,1604118285,28.3156
2020/10/31,12:21:45,1604118105,30.8421
2020/10/31,12:18:45,1604117925,30.8437
2020/10/31,12:15:45,1604117745,31.0982
2020/10/31,12:12:46,1604117566,31.1083
2020/10/31,12:09:45,1604117385,31.1113
2020/10/31,12:06:49,1604117209,31.2174
2020/10/31,12:03:45,1604117025,31.1646
2020/10/31,12:00:45,1604116845,31.8622
2020/10/31,11:57:46,1604116666,31.2603
